,station_id,latitude,longitude,elevation,date_time,wind_direction,wind_speed,air_temperature,dew_point_temperature,eastward_wind,northward_wind
130,KSYF,39.77,-101.8,1025.0,2024-03-12 05:55:00,260.0,4.0,3.0,-4.0,3.939231012048832,0.6945927106677213
131,KS25,47.8,-103.25,644.0,2024-03-12 05:55:00,190.0,4.0,-0.0,-0.0,0.6945927106677219,3.939231012048832
132,KRUG,48.38,-100.02,472.0,2024-03-12 05:55:00,260.0,8.0,-0.0,-1.0,7.878462024097664,1.3891854213354426
133,KPWC,46.72,-94.37,395.0,2024-03-12 05:55:00,300.0,5.0,7.0,-4.0,4.330127018922193,-2.5000000000000004
134,KDTL,46.82,-95.87,426.0,2024-03-12 05:55:00,340.0,10.0,5.0,-0.0,3.420201433256686,-9.396926207859085
135,KDUB,43.55,-109.52,2224.0,2024-03-12 05:55:00,310.0,9.0,-2.0,-6.0,6.894399988070803,-5.785088487178854
136,KD60,48.38,-102.9,693.0,2024-03-12 05:55:00,0.0,0.0,-1.0,-1.0,-0.0,-0.0
137,KD57,46.82,-101.87,637.0,2024-03-12 05:55:00,0.0,0.0,0.0,-1.0,-0.0,-0.0
138,KHCR,40.483333333333334,-111.43333333333334,1706.0,2024-03-12 05:55:00,150.0,3.0,-3.0,-4.0,-1.4999999999999998,2.598076211353316
139,KGWR,46.22,-97.65,386.0,2024-03-12 05:55:00,320.0,15.0,6.0,0.0,9.641814145298094,-11.490666646784668
140,KTQK,38.47,-100.88,904.0,2024-03-12 05:55:00,160.0,14.0,8.0,-1.0,-4.788282006559364,13.155696691002717
141,KHCD,44.87,-94.38,323.0,2024-03-12 05:55:00,240.0,7.0,10.0,-7.0,6.062177826491069,3.500000000000003
142,KM75,48.37,-107.92,687.0,2024-03-12 05:55:00,0.0,0.0,-2.0,-2.0,-0.0,-0.0
143,KMVH,46.83,-108.93,1355.0,2024-03-12 05:55:00,300.0,5.0,-0.0,-5.0,4.330127018922193,-2.5000000000000004
144,KOWI,38.53,-95.25,294.0,2024-03-12 05:55:00,190.0,12.0,12.0,6.0,2.0837781320031654,11.817693036146496
145,KPO1,48.13,-105.17,621.0,2024-03-12 05:55:00,0.0,0.0,-0.0,-2.0,-0.0,-0.0
146,KGVW,38.83,-94.57,337.0,2024-03-12 05:55:00,130.0,11.0,18.0,15.0,-8.426488874308758,7.070663706551933
147,KHON,44.38,-98.23,390.0,2024-03-12 05:55:00,330.0,7.0,2.0,-2.0,3.500000000000003,-6.062177826491069
148,KFRI,39.03,-96.77,325.0,2024-03-12 05:55:00,220.0,12.0,16.0,3.0,7.713451316238471,9.192533317427737
149,KBTN,45.82,-97.75,402.0,2024-03-12 05:55:00,250.0,4.0,2.0,2.0,3.7587704831436337,1.3680805733026742
150,K41U,39.333333333333336,-111.61666666666666,1676.0,2024-03-12 05:55:00,90.0,3.0,3.0,-5.0,-3.0,-1.8369701987210297e-16
151,KHZE,47.28,-101.58,553.0,2024-03-12 05:55:00,0.0,0.0,-2.0,-2.0,-0.0,-0.0
152,KRCM,38.78,-93.8,244.0,2024-03-12 05:55:00,180.0,8.0,11.0,1.0,-9.797174393178826e-16,8.0
153,KPNA,42.8,-109.8,2160.0,2024-03-12 05:55:00,0.0,0.0,-2.0,-3.0,-0.0,-0.0
154,K4V0,40.1,-108.77,1608.0,2024-03-12 05:55:00,150.0,3.0,3.0,-1.0,-1.4999999999999998,2.598076211353316
155,KRDK,41.02,-95.27,318.0,2024-03-12 05:55:00,190.0,10.0,11.0,3.0,1.7364817766693048,9.84807753012208
156,KFET,41.45,-96.52,367.0,2024-03-12 05:55:00,190.0,14.0,16.0,0.0,2.4310744873370265,13.787308542170912
157,KOGA,41.12,-101.77,999.0,2024-03-12 05:55:00,0.0,0.0,3.0,1.0,-0.0,-0.0
158,KMLE,41.2,-96.12,320.0,2024-03-12 05:55:00,170.0,4.0,15.0,2.0,-0.6945927106677211,3.939231012048832
159,KLXN,40.78,-99.77,734.0,2024-03-12 05:55:00,0.0,0.0,2.0,-1.0,-0.0,-0.0
160,KMYZ,39.85,-96.63,391.0,2024-03-12 05:55:00,190.0,12.0,15.0,3.0,2.0837781320031654,11.817693036146496
161,KSDA,40.75,-95.42,296.0,2024-03-12 05:55:00,180.0,10.0,12.0,3.0,-1.2246467991473533e-15,10.0
162,KK83,39.9,-95.78333333333333,405.0,2024-03-12 05:55:00,200.0,11.0,11.0,3.0,3.7622215765823555,10.336618828644992
163,KHNR,41.58,-95.33,375.0,2024-03-12 05:55:00,190.0,11.0,10.0,1.0,1.9101299543362351,10.832885283134289
164,KSAA,41.45,-106.83,2138.0,2024-03-12 05:55:00,240.0,5.0,0.0,0.0,4.330127018922192,2.500000000000002
165,KPOY,44.87,-108.8,1552.0,2024-03-12 05:55:00,250.0,16.0,4.0,-9.0,15.035081932574535,5.472322293210697
166,KGNB,40.08,-105.92,2500.0,2024-03-12 05:55:00,130.0,4.0,0.0,-25.0,-3.064177772475912,2.5711504387461575
167,KFMM,40.33,-103.8,1393.0,2024-03-12 05:55:00,290.0,9.0,6.0,-6.0,8.457233587073175,-3.078181289931021
168,KEMM,41.82,-110.55,2220.0,2024-03-12 05:55:00,270.0,6.0,-2.0,-6.0,6.0,1.102182119232618e-15
